id_servico;nome;servicoDigital
5460;Acessar notícias em tempo real gratuitamente;False
12133;Protocolar documentos junto ao IFFluminense;True
9870;Solicitar permissão para enviar Mapa de Bordo da Tainha;True
10224;Acessar gratuitamente programas da TV Brasil via aplicativo;True
9816;Incluir informações no Repositório Documental de Dispositivos Médicos;True
4815;Acessar informações via rádio mesmo em caso de colapso da comunicação;False
9654;Fazer matrícula no Programa Nacional de Educação Continuada em Direitos Humanos;True
9876;Solicitar desbloqueio de senha de acesso ao SIGEPE para aposentados, militares reformados e da reserva, pensionistas e anistiados políticos atendidos ;True
9289;Consultar documentos e processos da ANEEL;True
9831;Alterar Registro de Cosméticos;True
9783;Registrar Programa de Distribuição de Valores Mobiliários - CVM;False
9653;Aderir ao Pró-DH – Conselhos de Direitos da Pessoa Idosa;True
12206;Consultar informações sobre Desembarques Domésticos no Brasil;True
4791;Acessar informações e comunicar-se via rádios EBC;False
9461;Obter certificado de cadastro de estabelecimento de armazenagem, acondicionamento, análise laboratorial, fornecedor de minério e gerador de material s;True
12213;Consultar os indicadores da Pesquisa de Sondagem Empresarial dos meios de hospedagem;True
12350;Consultar dados do Cadastro Único;True
9570;Protocolar documento junto ao Ministério da Educação - MEC;True
10270;Solicitar registro de preço de medicamentos;True
11335;Matricular-se em Curso de Graduação - UFR;True
12151;Consultar Perguntas Frequentes referentes à Lei Aldir Blanc;True
1248;Obter a Gestão Municipal de Praias Marítimas;True
12153;Consultar Tabela de Pagamentos referentes à Lei Aldir Blanc;True
10245;Solicitar serviço de análise de amostras pela técnica de Potencial Zeta e análise de tamanho de partícula (CETENE);True
11097;Validar cópia da declaração de imposto de renda;True
11743;Solicitar ensaio não destrutivo em estruturas de concreto;False
12094;Consultar Tutoriais referentes à Lei Aldir Blanc  (Lei nº 14.017/2020);True
9939;Consultar processos eletronicamente no Ministério do Turismo;True
12534;Obter diploma ou 2ª via de diploma de pós-graduação - UFRPE;False
2516;Emitir Declaração de Beneficiário (consta/nada consta);True
9271;Certificar-se para explorar serviços aéreos públicos de acordo com o RBAC 135;True
9395;Renovar Certificação de Boas Práticas de Distribuição e Armazenagem de Produtos para Saúde;True
9411;Alterar Certificação de Boas Práticas de Fabricação de Saneantes;True
9414;Emitir certificado;True
12298;Emitir Declaração de Atividade;True
11474;Solicitar atestado de capacidade técnica - UTFPR;False
12089;Contratar solução digital para automatizar validação de documento (API VIO Decoder);True
2519;Emitir Declaração de Regularidade da Situação do Contribuinte Individual;True
12644;Impugnar procedimento administrativo de averbação pré-executória;True
11959;Buscar requerimento de regularização fundiária;True
10195;Impugnar procedimento administrativo de reconhecimento de responsabilidade;True
10966;Consultar restituição de imposto de renda;True
11655;Importar produtos de origem vegetal;True
2524;Emitir Extrato de Empréstimo Consignado;True
117;Registrar Declaração de Acidente de Trânsito - DAT (Condutor);True
11747;Desistir da solicitação de refúgio;True
11880;Solicitar aprovação de projetos como prioritários, para fins de emissão de debêntures incentivadas;False
10256;Obter Demonstrativo de Débitos da Tarifa K1 de Lote Agrícola com o Departamento Nacional de Obras contra as Secas.;True
10749;Habilitar projetos de pesquisa para instituição sem finalidades lucrativas, junto ao CNPq, para importação de bens - Lei 8.010/1990;True
10540;Solicitar aprovação de Ensaio Clínico- Produtos de Terapias Avançadas;True
10579;Solicitar capacitação em áreas de atuação do Inmetro, nas modalidades presencial e/ou a distância;False
10585;Conceder bolsas de mestrado e doutorado​ da CNEN;True
12171;Registrar pedido de acesso a informações da ANPD;True
2520;Emitir Extrato de Pagamento de Benefício do INSS;True
11891;Solicitar envio de Memorial do Conselho de Recursos do Sistema Financeiro Nacional (CRSFN);True
10161;Obter Cadastro e Licença para Controle de Produtos Químicos.;True
1071;Receber assistência e proteção a testemunhas;False
2521;Emitir Extrato do INSS para Imposto de Renda;True
12240;Aderir às iniciativas de proteção e promoção de direitos humanos do Sistema Nacional de Direitos Humanos;True
9999;Consultar notificações à Organização Mundial do Comércio.;True
11040;Declarar operações com papel imune;False
9979;Acessar vídeos sobre relações internacionais da Fundação Alexandre de Gusmão;True
10945;Entregar documentos de malha GFIP.;False
12061;Protocolar documentos junto ao Ministério da Mulher, da Família e dos Direitos Humanos (MMFDH);True
10109;Solicitar Vinculação de Cursos de Graduação a Bacharelados/Licenciaturas Interdisciplinares no Sistema e-MEC;True
11384;Ingressar em cursos técnicos da UFTM;True
11682;Submeter conteúdo à Revista de Extensão e Estudos Rurais;False
9839;DNIT - Apresentar Solicitação para Substituir Multa por Advertência;True
2523;Emitir Extrato de Contribuição (CNIS);True
11681;Submeter conteúdo à Revista ELO;False
10282;Consultar os criminosos mais procurados do Brasil;True
11863;Aderir ao Pró-DH – Órgãos Públicos e Conselhos de Promoção da Igualdade Racial;True
12646;Matricular-se em curso de extensão - UNILAB;True
4037;Pleitear credenciamento de instituição no CAPDA;True
9725;Solicitar recursos para a Realização do Programa Meu Melhor;False
1085;Comprar moeda comemorativa;False
4211;Cadastrar bens culturais inventariados por pesquisas acadêmicas;False
12233;Pedir revisão de dívida inscrita do FGTS;True
4207;Consultar Banco de Dados de Bens Culturais Tombados;False
2246;Solicitar parcelamento de débitos junto à ANTT não inscritos em Dívida Ativa da União;True
11020;Apresentar prestação de contas de Programa Prioritário do CAPDA;True
9527;Implantar ou Modernizar as cozinhas comunitárias;False
12018;Obter Auxílios de Assistência Estudantil - UFU;True
6109;Matricular-se em curso de Educação à Distância - Ifes;False
10699;Inscrever ou atualizar cadastro de obra de construção civil.;True
12109;Cadastrar-se no SEI do Ministério da Infraestrutura;True
6106;Matricular-se em curso de Educação Superior de Graduação (Licenciatura, Tecnologia e Bacharelado) - IFSertãoPE;False
11204;Solicitar Autorização de Funcionamento ou Autorização Especial em Portos, Aeroportos e Fronteiras;True
10016;Alterar Autorização de Funcionamento – Saneantes;True
9736;Solicitar recursos para a Realização do Programa Plenidade;False
10056;Protocolar documentos junto ao IFRN;True
12648;Celebrar acordo de cooperação técnica no âmbito do Programa Parceiros da Cidadania;False
12335;Atualizar Certificação de Boas Práticas de Cosméticos - operações societárias ou comerciais;True
11393;Matricular-se em cursos de graduação - UFTM;False
11524;Emitir certificado de curso de extensão.;False
10372;Acessar a galeria dos ex-presidentes da República (Biblioteca Digital);True
9712;Consultar o acervo científico das coleções biológicas do Instituto Nacional de Pesquisas da Amazônia - Inpa;False
12647;Obter Habilitação no Programa de estímulo ao transporte por cabotagem;True
12649;Acessar o Boletim do Programa Parceiros da Cidadania;True
11644;Solicitar visita ao Laboratório de Anatomia Humana;False
12256;Realizar inscrição em cursos e eventos de extensão - UFRR;True
12531;Solicitar o empréstimo de itens do acervo museológico do Museu do Índio - Funai;True
2234;Obter vistas e cópias de processos administrativos em posse da ANS;True
3253;Solicitar aprovação para ato de concentração econômica sob o procedimento ordinário;False
12650;Matricular-se em curso de extensão - UnB;True
60;Obter a Carteira de Trabalho;True
9735;Solicitar recursos para o apoio a Realização do Programa Vem Ser!;False
9319;Denunciar irregularidades na área ou na atividade de mineração;True
6337;Matricular-se em curso de Educação Profissional Técnica (Educação de Jovens e Adultos, Integrado e Subsequente) - IFMS.;False
6371;Obter diploma ou 2ª via de diploma de graduação - UNIFEI;True
11627;Propor plano de ação para transferências voluntárias junto à SUDECO;True
6503;Matricular-se em curso de Formação Inicial e Continuada - IFMS.;False
8391;Obter autorização para operação (a partir da segunda outorga) de instalação de biocombustíveis;True
11792;Solicitar treinamento e capacitação em reprodução animal;False
8393;Obter autorização para construção, modificação ou ampliação de capacidade de plantas de formulação de combustíveis;True
2826;Registrar Objeto;True
10462;Requisitar a transferência de titularidade de autorização para exploração de instalação portuária privada;True
10461;Requisitar a emissão de declaração de adequação para obter autorização para exploração indireta de áreas não afetas à operação portuária;True
9961;Compartilhar imagens promocionais de destinos turísticos brasileiros;False
11538;Participar de processo seletivo para ingresso em curso de graduação (bacharelado) na UNIFEI como portador de diploma;False
12264;Montar e Testar Equipamentos Eletrônicos em Salas Limpas classe 100.000 no LDSE do INPE;False
2850;Obter a anotação de limitação ou ônus sobre pedido ou registro de marca;True
2878;Obter a anotação de transferência de titularidade de registro de programa de computador;True
5856;Registrar diplomas de faculdades, centros universitários e universidades privadas - UNIFEI;False
8394;Obter autorização para operação de planta produtora de combustíveis líquidos;True
10479;Solicitar Autorização para Condutor de Veículo nas Unidades de Conservação Federais;True
10494;Solicitar segunda via de procuração pública no exterior;True
10287;Solicitar o Credenciamento de Auditoria Independente por Pessoa Jurídica Responsável por Auditar Processos Produtivos Básicos e Sistemas de Qualidade ;False
10991;Solicitar diagnóstico de referência em investigação de febre maculosa (ambiente e vetores) - Fiocruz/RJ;False
2832;Obter a anotação de transferência de titularidade de patente ou de certificado de adição de invenção;True
2861;Obter a anotação de transferência de titularidade de desenho industrial;True
9350;Unificar Imóveis da União;True
11443;Solicitar o desenvolvimento de cursos;False
10289;Solicitar Atendimento Pedagógico Individualizado - Universidade Federal do Oeste do Pará;True
2849;Obter a anotação de transferência de titularidade de registro de marca;True
11535;Participar de Processo Seletivo para Ingresso em Curso de Graduação (Licenciatura ou Bacharelado) na UNIFEI;False
11779;Solicitar transferência de embriões equinos;False
2834;Obter a restauração de pedido de patente ou de certificado de adição de invenção;True
9708;Solicitar análise química e física de amostras de água pelo Instituto Nacional de Pesquisas da Amazônia - INPA;False
1367;Obter anuência prévia para importação de agrotóxicos;True
10797;Optar pelo sistema de recolhimento do MEI;False
